Plot,Rated,Response,Language,Title,Country,Writer,Metascore,imdbRating,Director,Released,Actors,Year,Genre,Awards,Runtime,Type,Poster,imdbVotes,imdbID
"14th-century knights transport a suspected witch to a monastery, where monks deduce her powers could be the source of the Black Plague.",PG-13,True,"English, Latin",Season of the Witch,USA,Bragi F. Schut,28,5.4,Dominic Sena,07 Jan 2011,"Nicolas Cage, Ron Perlman, Stephen Campbell Moore, Stephen Graham",2011,"Action, Adventure, Fantasy",2 nominations.,95 min,movie,http://ia.media-imdb.com/images/M/MV5BMzc3MjYxNzg2N15BMl5BanBnXkFtZTcwNzQyMTkwNA@@._V1_SX300.jpg,"76,192",tt0479997
"A rising country-music songwriter works with a fallen star to work their way to fame, causing romantic complications along the way.",PG-13,True,English,Country Strong,USA,Shana Feste,45,6.3,Shana Feste,07 Jan 2011,"Gwyneth Paltrow, Tim McGraw, Garrett Hedlund, Leighton Meester",2010,"Drama, Music",Nominated for 1 Oscar. Another 1 win & 6 nominations.,117 min,movie,http://ia.media-imdb.com/images/M/MV5BMTUxMjQ0NjE3OV5BMl5BanBnXkFtZTcwODIxNDEwNA@@._V1_SX300.jpg,"14,740",tt1555064
"Following the death of his father, Britt Reid, heir to his father's large company, teams up with his late dad's assistant Kato to become a masked crime fighting team.",PG-13,True,"English, Mandarin",The Green Hornet,USA,"Seth Rogen, Evan Goldberg, George W. Trendle (radio series ""The Green Hornet"")",39,5.8,Michel Gondry,14 Jan 2011,"Seth Rogen, Jay Chou, Cameron Diaz, Tom Wilkinson",2011,"Action, Comedy, Crime",3 wins & 7 nominations.,119 min,movie,http://ia.media-imdb.com/images/M/MV5BMTcwOTMwMDYyMl5BMl5BanBnXkFtZTcwMzAxMjMyNA@@._V1_SX300.jpg,"135,728",tt0990407
A man discovers that his best friend's wife is having an affair.,PG-13,True,English,The Dilemma,USA,Allan Loeb,46,5.3,Ron Howard,14 Jan 2011,"Vince Vaughn, Kevin James, Jennifer Connelly, Winona Ryder",2011,"Comedy, Drama",1 nomination.,111 min,movie,http://ia.media-imdb.com/images/M/MV5BMzg3MDUwMTI1OV5BMl5BanBnXkFtZTcwNzY0NDIxNA@@._V1_SX300.jpg,"43,647",tt1578275
"The picaresque and touching story of the politically incorrect, fully lived life of the impulsive, irascible and fearlessly blunt Barney Panofsky.",R,True,English,Barney's Version,"Canada, Italy","Mordecai Richler (novel), Michael Konyves (screenplay)",67,7.3,Richard J. Lewis,18 Feb 2011,"Paul Giamatti, Macha Grenon, Paul Gross, Atom Egoyan",2010,"Comedy, Drama",Nominated for 1 Oscar. Another 18 wins & 17 nominations.,134 min,movie,http://ia.media-imdb.com/images/M/MV5BMTM4MTUwNDg0OF5BMl5BanBnXkFtZTcwMjUyODYxNA@@._V1_SX300.jpg,"21,086",tt1423894
Ong Bak 3 picks up where Ong Bak 2 had left off. Tien is captured and almost beaten to death before he is saved and brought back to the Kana Khone villagers. There he is taught meditation ...,R,True,Thai,Ong-bak 3,Thailand,"Tony Jaa (story and screenplay), Panna Rittikrai (story and screenplay)",38,4.9,"Tony Jaa, Panna Rittikrai",14 Jan 2011,"Tony Jaa, Primorata Dejudom, Dan Chupong, Nirut Sirichanya",2010,Action,3 nominations.,99 min,movie,http://ia.media-imdb.com/images/M/MV5BMTc3MjkyMzk4N15BMl5BanBnXkFtZTcwODQxMDg5Mw@@._V1_SX300.jpg,"10,441",tt1653690
"Ulrik is reluctantly let out of prison after serving 12 years for murder. He has to cope with his gang, his ex, a few women - and a snitch. His son has a fiancé. Her family doesn't approve ...",N/A,True,"Norwegian, Swedish, Saami",A Somewhat Gentle Man,Norway,Kim Fupz Aakeson (screenplay),68,7.0,Hans Petter Moland,19 Mar 2010,"Stellan Skarsgård, Jorunn Kjellsby, Bjørn Floberg, Gard B. Eidsvold",2010,"Comedy, Crime, Drama",4 wins & 7 nominations.,113 min,movie,http://ia.media-imdb.com/images/M/MV5BMTkxOTI3Njc4MF5BMl5BanBnXkFtZTcwMzI0NTIzNA@@._V1_SX300.jpg,"5,134",tt1386683
"The story centers on a year in the life of three men trying to survive a round of corporate downsizing at a major company - and how that affects them, their families, and their communities.",R,True,English,The Company Men,"UK, USA",John Wells,69,6.8,John Wells,11 Feb 2011,"Ben Affleck, Tommy Lee Jones, Chris Cooper, Suzanne Rico",2010,Drama,2 wins & 10 nominations.,104 min,movie,http://ia.media-imdb.com/images/M/MV5BMTQxMTgyNDc5M15BMl5BanBnXkFtZTcwMzk4OTM5Mw@@._V1_SX300.jpg,"36,684",tt1172991
"A guy and girl try to keep their relationship strictly physical, but it's not long before they learn that they want something more.",R,True,"English, Ukrainian",No Strings Attached,USA,"Elizabeth Meriwether (screenplay), Michael Samonek (story), Elizabeth Meriwether (story)",50,6.2,Ivan Reitman,21 Jan 2011,"Natalie Portman, Ashton Kutcher, Kevin Kline, Cary Elwes",2011,"Comedy, Romance",2 wins & 6 nominations.,108 min,movie,http://ia.media-imdb.com/images/M/MV5BMTg2MDQ1NTEzNl5BMl5BanBnXkFtZTcwOTgxNTMyNA@@._V1_SX300.jpg,"168,529",tt1411238
"Siberian gulag escapees travel 4,000 miles by foot to freedom in India.",PG-13,True,"English, Russian, Polish",The Way Back,"USA, United Arab Emirates, Poland","Keith R. Clarke (screenplay), Slavomir Rawicz (novel), Peter Weir (screenplay)",66,7.3,Peter Weir,21 Jan 2011,"Dragos Bucur, Colin Farrell, Ed Harris, Alexandru Potocean",2010,"Adventure, Biography, Drama",Nominated for 1 Oscar. Another 2 wins & 4 nominations.,133 min,movie,http://ia.media-imdb.com/images/M/MV5BMTg5MTc5MTM3Ml5BMl5BanBnXkFtZTcwMDI2NzgwNA@@._V1_SX300.jpg,"87,122",tt1023114
